"...","..."
"Browse Files...","Hojear archivos..."
"Complete","Completado"
"Maximum allowed file size for upload is","El tamaño de archivo máximo permitido para la carga es"
"Please check your server PHP settings.","Por favor, verifique la configuración PHP de su servidor."
"Remove","Remover"
"There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to continue ?","Hay archivos que fueron seleccionados pero no cargados todavía. Después de cambiar a otra pestaña, sus selecciones se perderán. ¿Desea continuar?"
"Upload Files","Cargar archivos"
"Uploading...","Cargando..."
