"Subtotal","Subtotal"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalle de etiqueta ""%s"""
"Tag Detail","Detalle de la etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tag Use","Uso de la etiqueta"
"Tags Submitted by %s","Etiquetas enviadas por %s"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tax","Impuestos"
"Title","Título"
"To","Hasta"
"Total","Total"
"Total Invoiced vs. Paid Report","Total facturado vs. informe de pagos"
"Total Ordered Report","Informe de todos los pedidos"
"Total Refunded Report","Informe de todos las reembolsas"
"Total Shipped Report","Informe de todos los envíos"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total reembolsado"
"Updated At","Actualizado en"
"Viewed Products Grid Template","Ver plantilla de cuadrícula de artículos vistos"
"Viewed Products List Template","Ver plantilla de lista de artículos vistos"
"Visible In","Visible en"
"Wishlist Report","Informe de lista de deseos"
"Wishlist vs. Regular Order","Lista de deseos vs. pedido regular"
"Wishlists","Listas de deseos"
"Year","Año"
"Year-To-Date Starts","Año actual empieza el"
"Yes","Sí"
"Your Recently Compared","Sus compras recientes"
"Your Recently Viewed","Sus vistas recientes"
"undefined","no definido"
