"Account Number","Número de cuenta"
"Enable","Habilitar"
"Enable IP anonymization","Habilitar anonimizacion de la IP"
"Google API","Google API"
"Google Analytics","Google Analytics"
"Type","Tipo"
"Universal Analytics","Universal Analytics"
